Date,Adress,Size,Rooms,Broker,Rent,Price
20221021,Jarlaplan 4,20,1,"Gabriel
Bilir",780,3020000
20210219,Jarlaplan 4,20,1,"Gabriel
Bilir",780,3170000
20220220,Johannesgatan 10,20,1,"Mathias
Dominius",1009,2600000
20190228,Karlavägen 90 A,20,1,"Erik
Frisk",1577,2700000
20220822,Karlbergsvägen 57,20,1,"Ronni
Mleczkovicz",1005,2900000
20210723,Karlbergsvägen 57,20,1,"Ronni
Mleczkovicz",1017,2775000
20210219,Karlbergsvägen 57,20,1,Unknown,1005,2725000
2020093,Karlbergsvägen 57,20,1,"Joakim
Andersson",1043,2690000
2020053,Karlbergsvägen 57,20,1,"Linn
Holmer",1017,2800000
20190814,Karlbergsvägen 57,20,1,"Christina
Björkholmen",1017,2600000
20221013,Kommendörsgatan 33A,20,1,Unknown,1119,2600000
20220419,Kommendörsgatan 33A,20,1,Unknown,1039,3300000
20211127,Kommendörsgatan 33A,20,1,Unknown,1094,3050000
20210917,Kommendörsgatan 33A,20,1,"Calle
Degefors",1119,3500000
20190926,Kommendörsgatan 33A,20,1,"Amélie
Johansson",1039,2900000
20221017,Kronobergsgatan 20,20,1,"Nathalie
Jensen",1426,2750000
2022046,Kronobergsgatan 20,20,1,"Nathalie
Jensen",1426,3110000
20200219,Kronobergsgatan 20,20,1,Unknown,1371,2830000
20190918,Kronobergsgatan 20,20,1,"Linda
Rosén",1419,2500000
20221026,Krukmakargatan 38,20,1,"Matilda
Gustafson",2163,2450000
20220324,Kungsbro Strand 19,20,1,Unknown,1739,2600000
20210511,Kungsgatan 51,20,1,"Niklas
Wellmér",403,3070000
20210524,Kungsholms strand 171,20,1,Unknown,1173,2410000
20210817,Kungstensgatan 67,20,1,"Nicola
Grez-Pancetti",1386,2865000
20200817,Kungstensgatan 67,20,1,Unknown,1221,2640000
2020021,Lundagatan 48A,20,1,Unknown,1182,2400000
2020089,Lustigkullavägen 4,20,1,"William
Kajo",1020,2200000
20210422,Maskrosstigen 8C,20,1,Unknown,855,2550000
20220831,Mörsilsgatan 6,20,1,"Jonathan
Bergstrand",1630,1250000
20191214,Norr Mälarstrand 88,20,1,"Erin
Kiruk",750,2550000
20200811,Norra Stationsgatan 119,20,1,Unknown,1166,2350000
2021056,Nybohovsbacken 63,20,1,"Alexander
Shahin",1144,1950000
20210316,Nybohovsgränd 6,20,1,"Henric
Wickholm",782,1980000
2022099,Odengatan 49,20,1,Unknown,363,2780000
20220326,Oxenstiernsgatan 37,20,1,Unknown,1141,2650000
20190619,Oxenstiernsgatan 37,20,1,Unknown,1163,2450000
20181220,Oxenstiernsgatan 37,20,1,Unknown,1342,2500000
20220426,Parmmätargatan 22,20,1,"Erin
Kiruk",1581,3070000
2022037,Parmmätargatan 22,20,1,Unknown,1506,2930000
20210212,Parmmätargatan 22,20,1,Unknown,1506,2550000
2019085,Parmmätargatan 22,20,1,Unknown,1506,2900000
20190424,Parmmätargatan 22,20,1,Unknown,1506,2510000
2022015,Paternostervägen 66,20,1,Unknown,1188,2050000
20221027,Paternostervägen 70,20,1,Unknown,1247,2000000
20190822,Paternostervägen 70,20,1,"Javiera
Robertsson",1153,1570000
20220427,Pipersgatan 20,20,1,"Robin
Nyvall",2079,2700000
2020101,Pipersgatan 20,20,1,Unknown,1998,2500000
2021028,Rådmansgatan 46,20,1,Unknown,1449,2450000
20201027,Rådmansgatan 46,20,1,Unknown,1385,2560000
20210924,Råggatan 10,20,1,Unknown,1228,2350000
20191010,Rehnsgatan 10A,20,1,Unknown,1208,2410000
20200428,Rehnsgatan 12 A,20,1,Unknown,1217,2580000
20221018,Robert Almströmsgatan 6,20,1,Unknown,1249,3000000
20200527,Robert Almströmsgatan 6,20,1,Unknown,1378,2625000
20210915,Rosenlundsgatan 24,20,1,Unknown,1096,2555000
20190810,Rosenlundsgatan 24,20,1,Unknown,1096,2300000
2020091,Rosenlundsgatan 28B,20,1,Unknown,585,2560000
20200730,Rutger Fuchsgatan 8 A,20,1,Unknown,1218,2650000
20211125,Sågverksgatan 94,20,1,"Jeanette
Giörtz",1397,1650000
20201130,Sågverksgatan 96,20,1,Unknown,1397,1750000
20200916,Sågverksgatan 96,20,1,Unknown,1397,1600000
2019099,Sankt Eriksgatan 13,20,1,Unknown,971,2500000
20201119,Sankt Eriksgatan 58,20,1,"Lukas
Sjölin",898,1950000
20200928,Sankt eriksgatan 89,20,1,"Patrick
Björkman",294,2755000
20191115,Sjöbjörnsvägen 11,20,1,"Johanna
Dahlerus",1269,1950000
20190228,Sjöbjörnsvägen 11,20,1,"Pontus
Tovesson",1269,2065000
20210129,Sjöbjörnsvägen 13,20,1,"Alexandra
Ekstrand",1269,1995000
20190516,Sjöbjörnsvägen 13,20,1,Unknown,1269,1900000
2022096,Skälderviksplan 11,20,1,Unknown,2423,1800000
20210812,Skälderviksplan 11,20,1,Unknown,2008,2010000
20200110,Skälderviksplan 11,20,1,Unknown,2194,1900000
