Date,Adress,Size,Rooms,Broker,Rent,Price
20220920,Bondegatan 75 3tr,22,1,Unknown,798,2820000
2022028,Brahegatan 58,22,1,Unknown,1123,3325000
2020062,Bygärdesvägen 4,22,1,Unknown,1424,1330000
2021101,Bygärdesvägen 4 - Accepterat pris!,22,1,Unknown,1452,1225000
20210325,Bygärdesvägen 4A,22,1,Unknown,1452,1250000
20220323,Cedergrensvägen 16,22,1,Unknown,2555,1300000
2022074,Döbelnsgatan 58,22,1,Julia Larsson,857,2700000
2020055,Eklidsgränd 3C,22,1,Unknown,1202,1990000
2019123,Eklidsgränd 5C,22,1,Unknown,1202,2140000
20221021,Falugatan 19,22,1,Unknown,1374,2475000
20221125,Folkskolegatan 6,22,1,Unknown,2007,2525000
2021028,Fridhemsgatan 12 B,22,1,Emil Hoffman,925,2495000
20211014,Grevgatan 5,22,1,Peter Frisell,0,4500000
20221119,Hjulstavägen 92,22,1,Unknown,1568,1245000
2021064,Hjulstavägen 92 vån 8,22,1,Unknown,1568,1300000
20221031,John Ericssonsgatan 16,22,1,Erin Kiruk,1435,2660000
20220412,Jungfrugatan 54,22,1,Unknown,819,3350000
20221014,Kammakargatan 18,22,1,Unknown,2150,2250000
20201117,Karlbergsvägen 69 A,22,1,Unknown,677,2880000
20200921,Krukmakargatan 62,22,1,Unknown,1618,2500000
20220121,Ljusstöparbacken 5C,22,1,Nicklas Talvitie,1343,2040000
20220412,Ljusstöparbacken 9A,22,1,Johanna Dahlerus,1343,1800000
2021093,Lundagatan 36 F,22,1,Sofia Kihlman,1266,2630000
20220120,Luntmakargatan 85,22,1,Unknown,1344,2900000
20190810,Odengatan 89,22,1,Unknown,436,2750000
20220530,Pingstvägen 34,22,1,Unknown,1654,2150000
20220113,Rindögatan 13,22,1,Unknown,1633,2760000
20220426,Ringvägen 114,22,1,Unknown,1095,2900000
20220424,Ringvägen 126,22,1,Unknown,1355,2600000
20210114,Ringvägen 127,22,1,Unknown,904,2610000
20221213,Ringvägen 158,22,1,Isabelle Sörälv,1100,2425000
2021084,Ringvägen 87B ACCEPTERAT PRIS,22,1,Unknown,1249,2700000
2022086,Rödabergsbrinken 16,22,1,Basit Malik,1019,2600000
20221017,Rörläggarvägen 15,22,1,Malin Klebe,1275,1700000
2022095,Rutger Fuchsgatan 4a,22,1,Unknown,1165,2600000
2021106,Rutger Fuchsgatan 8b,22,1,Ingrid Niclason,1031,2550000
