neighbourhood_group,neighbourhood
,Älvsjö
,Bromma
,Enskede-Årsta-Vantörs
,Farsta
,Hägersten-Liljeholmens
,Hässelby-Vällingby
,Kungsholmens
,Norrmalms
,Östermalms
,Rinkeby-Tensta
,Skärholmens
,Skarpnäcks
,Södermalms
,Spånga-Tensta
