Date,Adress,Size,Rooms,Broker,Rent,Price
20191025.0,Nybrogatan 50,25.0,1.0,Bjurfors Östermalm/Lidingö,561.0,2850000.0
20191024.0,Birger Jarlsgatan 104 J,21.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1559.0,2670000.0
20191024.0,Sankt Göransgatan 153,22.5,1.0,Erik Olsson Fastighetsförmedling,1069.0,2350000.0
20191022.0,John Ericssonsgatan 16,25.0,1.0,Mäklarhuset Stockholm Innerstan,1635.0,2650000.0
20191022.0,Artillerigatan 29,23.0,1.0,Mäklarhuset Stockholm Innerstan,1376.0,3000000.0
20191018.0,Slipgatan 5,24.0,1.0,Fastighetsbyrån Stockholm - Södermalm,1260.0,2725000.0
20191018.0,Rindögatan 24,23.0,1.0,Notar,1537.0,2700000.0
20191017.0,Gröndalsvägen 118,25.0,1.0,Fastighetsbyrån Hägersten/Älvsjö,1242.0,2170000.0
20191017.0,Birger jarlsgatan 104 I,24.0,1.0,Svensk Fastighetsförmedling Sthlm Östermalm/Gärdet,1499.0,2650000.0
20191017.0,Birger Jarlsgatan 104 N,20.5,1.0,BlumenthalHoffman Fastighetsmäkleri,1559.0,2620000.0
20191016.0,Gullmarsvägen 29,25.0,1.0,Fastighetsbyrån Årsta,2651.0,2100000.0
20191016.0,Klintbacken 1,25.0,1.0,Bjurfors Bromma,1622.0,2150000.0
20191016.0,Stagneliusvägen 26,22.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1504.0,2100000.0
20191016.0,Industrigatan 9,23.0,1.0,Mäklarhuset Stockholm Innerstan,1208.0,2560000.0
20191016.0,Bastugatan 21,25.0,1.0,BOSTHLM Fastighetsmäklare AB,1360.0,2700000.0
20191015.0,Bondegatan 24,25.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,1439.0,2755000.0
20191015.0,Rådmansgatan 46,24.0,1.0,Vision Mäkleri AB,1534.0,2520000.0
20191011.0,Sankt Göransgatan 153,24.5,1.0,Notar,1523.0,2360000.0
20191011.0,Grevgatan 20,24.0,1.0,MOHV Stockholm AB,1128.0,3100000.0
20191010.0,Rehnsgatan 10A,20.0,1.0,Erik Olsson Fastighetsförmedling,1208.0,2410000.0
20191010.0,Hägerstensvägen 209,23.0,1.0,Alicia Edelman Fastighetsmäkleri,2202.0,2175000.0
2019108.0,Vittangigatan 16,23.0,1.0,Fastighetsbyrån Hässelby/Vällingby/Spånga,1631.0,1650000.0
2019106.0,Bäckaskiftsvägen 11A,24.0,2.0,Bjurfors Enskede,1376.0,2250000.0
2019104.0,Vulcanusgatan 8,20.0,1.0,Alicia Edelman Fastighetsmäkleri,806.0,2500000.0
2019104.0,Alviksvägen 23,24.0,1.0,Erik Olsson Fastighetsförmedling,1288.0,2285000.0
2019104.0,Hjulstavägen 92,23.0,1.0,HusmanHagberg Kista,1639.0,1260000.0
2019104.0,Lundagatan 36B,24.5,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1374.0,2520000.0
2019104.0,Närkesgatan 2,25.0,1.0,Mäklarhuset Stockholm Innerstan,1233.0,2430000.0
2019103.0,Roslagsgatan 32,25.0,1.0,HusmanHagberg Vasastan,995.0,2880000.0
2019103.0,Sankt Eriksgatan 64,24.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,1052.0,2750000.0
2019102.0,Slipgatan 14,23.0,1.0,Historiska Hem,1404.0,2900000.0
2019102.0,Konstgjutarvägen 28,22.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Enskede,1634.0,2085000.0
2019102.0,Kungsklippan 11,23.0,1.0,BOSTHLM,1654.0,2605000.0
2019101.0,Tjärhovsgatan 22,20.0,1.0,Södermäklarna,2240.0,2250000.0
2019101.0,Kungsklippan 11,24.0,1.0,Innerstadsspecialisten S AB,1731.0,2320000.0
2019101.0,Sankt Eriksgatan 109,25.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,542.0,3075000.0
20190930.0,Askrikegatan 17,23.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1011.0,2900000.0
20190930.0,Maskinistgatan 9,23.5,1.0,Fastighetsbyrån Hägersten/Älvsjö,1932.0,2440000.0
20190930.0,Garvargatan 22 5tr,20.0,1.0,SkandiaMäklarna Stockholm Kungsholmen,891.0,2550000.0
20190930.0,Sankt Göransgatan 153,22.5,1.0,BOSTHLM Fastighetsmäklare AB,1550.0,2450000.0
20190930.0,Folkskolegatan 12,22.0,1.0,HusmanHagberg Södermalm/Gamla Stan,1866.0,2400000.0
20190927.0,Bokbindarvägen 78,24.0,1.0,Fastighetsbyrån Hägersten/Älvsjö,2432.0,2150000.0
20190927.0,Erik Dahlbergsgatan 36,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1343.0,2545000.0
20190927.0,Nybrogatan 72,25.0,1.0,Nomad Mäkleri,823.0,3150000.0
20190927.0,Sven Rinmans Gata 3,25.0,1.0,Mäklarhuset Stockholm Innerstan,1236.0,2700000.0
20190927.0,Vikstensvägen 46,23.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Enskede,1525.0,2075000.0
20190926.0,Heleneborgsgatan 6B,25.0,1.0,Notar,1842.0,2750000.0
20190926.0,Kommendörsgatan 33A,20.0,1.0,Notar,1039.0,2900000.0
20190924.0,Nytorgsgatan 15 A,24.0,1.0,Historiska Hem,1378.0,2935000.0
20190923.0,Valhallavägen 153,22.0,1.0,Lagerlings,889.0,2500000.0
20190921.0,Stamdikesvägen 10C,22.0,2.0,ELIASES STHLM,1881.0,1795000.0
20190921.0,Västmannagatan 33,23.0,1.0,Fastighetsmäklarna Danderyd,881.0,2875000.0
20190921.0,Sturegatan 19,22.0,1.0,Innerstadsspecialisten Stockholm AB,590.0,2730000.0
20190919.0,Arkadvägen 1,23.0,1.0,HusmanHagberg Enskede,1675.0,2100000.0
20190919.0,Alströmergatan 49,20.0,1.0,Properties & Partners Stockholm,1482.0,2400000.0
20190918.0,Kronobergsgatan 20,20.0,1.0,Notar,1419.0,2500000.0
20190918.0,Tavastgatan 28,25.0,1.0,Erik Olsson Fastighetsförmedling,1507.0,2500000.0
20190918.0,Valhallavägen 47,25.0,1.0,Mäklarhuset Stockholm Innerstan,1377.0,2700000.0
20190918.0,Doktor Widerströms gata 46,25.0,1.0,BOSTHLM Fastighetsmäklare AB,1958.0,1900000.0
20190917.0,Kungsklippan 11,24.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1731.0,2515000.0
20190916.0,Grevgatan 23 B,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1871.0,2725000.0
20190916.0,Storsegelvägen 4,24.0,1.0,Alicia Edelman Fastighetsmäkleri,1300.0,2600000.0
20190916.0,Forsskålsgatan 16,20.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Enskede,1688.0,2000000.0
20190915.0,Tomtebogatan 39,24.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,1481.0,2750000.0
20190914.0,Inedalsgatan 15,21.0,1.0,SkandiaMäklarna Stockholm Kungsholmen,1416.0,3100000.0
20190913.0,Fågelkärrsvägen 2D,22.0,1.0,Bjurfors Enskede,1237.0,2230000.0
20190912.0,Rörstrandsgatan 42A,24.0,1.0,SkandiaMäklarna Stockholm Vasastan,860.0,2975000.0
20190912.0,Fågelkärrsvägen 2C,23.0,1.0,Bjurfors Enskede,1293.0,2350000.0
20190912.0,Rödabergsgatan 9A,21.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,1570.0,2430000.0
20190912.0,Inedalsgatan 15,23.0,1.0,Mäklarhuset Stockholm Innerstan,1560.0,3250000.0
20190912.0,Jungfrugatan 54,22.0,1.0,Notar,819.0,3025000.0
20190911.0,Erik Dahlbergsgatan 18,25.0,1.0,Svensk Fastighetsförmedling Sthlm Östermalm/Gärdet,1275.0,2520000.0
2019099.0,Sankt Eriksgatan 13,20.0,1.0,Erik Olsson Fastighetsförmedling,971.0,2500000.0
2019097.0,Ekhagsvägen 10,23.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Östermalm,1554.0,2100000.0
2019096.0,Gröndalsvägen 27,25.0,1.0,Erik Olsson Fastighetsförmedling,1224.0,2475000.0
2019096.0,Bergsrådsvägen 36,24.0,1.0,Svensk Fastighetsförmedling Farsta-Enskede,1865.0,2080000.0
2019096.0,Igeldammsgatan 38,23.0,1.0,SkandiaMäklarna Stockholm Kungsholmen,1619.0,2400000.0
2019095.0,Brännkyrkagatan 92A,25.0,1.0,Erik Olsson Fastighetsförmedling,1871.0,2700000.0
2019095.0,Tavastgatan 31,25.0,1.0,Mäklarhuset Essingen & Fredhäll,758.0,2700000.0
2019094.0,Hälsingegatan 35,20.5,1.0,Alexander White,1530.0,2560000.0
2019093.0,Smedsbacksgatan 16,21.0,2.0,Länsförsäkringar Fastighetsförmedling Stockholm - Östermalm,1366.0,2700000.0
2019093.0,Värtavägen 59,24.0,1.0,Notar,1206.0,2600000.0
2019091.0,Bondegatan 45,22.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1253.0,2600000.0
20190830.0,Sibyllegatan 26,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1025.0,2955000.0
20190830.0,Storsjövägen 34 A,25.0,1.0,Fastighetsbyrån Årsta,1406.0,2125000.0
20190830.0,Norr Mälarstrand 68,22.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1036.0,2510000.0
20190830.0,Ljusstöparbacken 11B,22.0,1.0,Le Grand Propriété,1217.0,2000000.0
20190830.0,Fleminggatan 58,24.0,1.0,BOSTHLM Fastighetsmäklare AB,1294.0,2775000.0
20190830.0,Slipgatan 12,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1392.0,2625000.0
20190829.0,Åminnevägen 17,23.0,1.0,Bjurfors Östermalm/Lidingö,1492.0,1995000.0
20190828.0,Norr Mälarstrand 100,25.0,1.0,Diplomat Fastighetmäkleri,1520.0,2550000.0
20190828.0,Russinvägen 75,24.5,1.0,HusmanHagberg Farsta,1107.0,1930000.0
20190828.0,Rådmansgatan 8,24.0,1.0,Alexander White,1408.0,2800000.0
20190827.0,Sankt Eriksgatan 40,25.0,2.0,Fastighetsbyrån Stockholm - Kungsholmen,288.0,3200000.0
20190826.0,Luntmakargatan 10,25.0,1.0,Erik Olsson Fastighetsförmedling,1861.0,2900000.0
20190826.0,Linnégatan 20,25.0,1.0,BlumenthalHoffman Fastighetsmäkleri,1216.0,2770000.0
20190825.0,Långholmsgatan 13,25.0,1.0,Notar,1446.0,2700000.0
20190824.0,Gyllenborgsgatan 15,21.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1314.0,2450000.0
20190824.0,Hjulstavägen 92,22.0,1.0,Notar,1567.0,1200000.0
20190823.0,Inedalsgatan 15,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1560.0,3150000.0
20190822.0,Valhallavägen 47,20.0,1.0,SkandiaMäklarna Stockholm Vasastan,1101.0,2380000.0
