Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
2022055,Styrmansgatan 7A,59,2,Ann-Charlotte Stenbeck,1973,8400000,2022-05-05,142373,1100,59.3324483648976,18.0848693847656
20211214,Karlaplan 14,59,1,Unknown,1883,11250000,2021-12-14,190678,476,59.3380515416625,18.0910491943359
20220113,Thunbergsgatan 30 1tr,59.2,2,Unknown,3412,3495000,2022-01-13,59037,235,59.2949533586518,18.0951690673828
2022054,Maltesholmsvägen 188,59.5,2,Unknown,3635,2025000,2022-05-04,34034,9,59.3587052700704,17.8342437744141
20221026,Fjugestagränd 19,59.5,3,Unknown,3415,2060000,2022-10-26,34622,20,59.2619796916609,18.0079650878906
2022105,Filipstadsbacken 70,59.5,2,Unknown,4093,2200000,2022-10-05,36975,28,59.2381064902224,18.1061553955078
20220610,Fjugestagränd 11,59.5,3,Kelly Ståhl,3729,2200000,2022-06-10,36975,20,59.2626815915554,18.0072784423828
20211221,Maltesholmsvägen 178,59.5,2,Martina Hultkrantz,3721,2250000,2021-12-21,37815,9,59.3583553115339,17.8342437744141
20220527,Rabattvägen 42 - Uteplats,59.5,2,Unknown,4117,2300000,2022-05-27,38655,14,59.3734002705407,17.8459167480469
2021111,Rabattvägen 44 (Våning 4),59.5,2,Jimmy Solkarin,4117,2325000,2021-11-01,39076,14,59.3737500739389,17.8452301025391
20221118,Filipstadsbacken 48,59.5,2,Unknown,3318,2340000,2022-11-18,39328,29,59.2384576878538,18.1040954589844
20220228,Fjugestagränd 15 3tr,59.5,3,Unknown,3729,2350000,2022-02-28,39496,20,59.2623306434156,18.0079650878906
20221117,Hanstavägen 94,59.5,2,Unknown,3144,2350000,2022-11-17,39496,77,59.408362757967,17.9372406005859
20220214,Blomsterkungsvägen 116 A ,59.5,2,Unknown,2871,2350000,2022-02-14,39496,8,59.3898371311217,17.8157043457031
2022066,Stjärnsundsgatan 9,59.5,3,Unknown,3595,2395000,2022-06-06,40252,18,59.2619796916609,18.0038452148438
20211027,Skarpnäcks Allé 6,59.5,2,Unknown,3489,2400000,2021-10-27,40336,24,59.2689980399324,18.1240081787109
20220519,Sandfjärdsgatan 132,59.5,2,Unknown,4180,2850000,2022-05-19,47899,46,59.2917976876279,18.0546569824219
2022098,Sandfjärdsgatan 134,59.5,2,Unknown,3980,2900000,2022-09-08,48739,48,59.2917976876279,18.0553436279297
20220420,Skebokvarnsvägen 2,59.5,2,Unknown,3639,2900000,2022-04-20,48739,25,59.27320835489,18.0436706542969
20220513,Sågverksgatan 112,59.5,2,Unknown,4157,3050000,2022-05-13,51261,38,59.2809259139434,18.0464172363281
20220112,Sandfjärdsgatan 84,59.5,2,Casper Burenby,4180,3100000,2022-01-12,52101,51,59.2935508743254,18.0484771728516
20220620,Sandfjärdsgatan 130,59.5,2,Unknown,3980,3100000,2022-06-20,52101,46,59.2917976876279,18.0546569824219
20220315,Sandfjärdsgatan 86,59.5,2,Unknown,4220,3350000,2022-03-15,56303,51,59.2932002442117,18.0491638183594
20220218,Ståltrådsvägen 42,59.5,3,Mathias Odehag,3257,3500000,2022-02-18,58824,128,59.3468046553733,17.9750061035156
20220215,Sandfjärdsgatan 88,59.5,3,Unknown,4180,3550000,2022-02-15,59664,51,59.2932002442117,18.0491638183594
20220715,Falsterbovägen 8,59.5,3,Unknown,3141,3825000,2022-07-15,64286,92,59.2910963876582,18.1143951416016
20220614,Hägerstensvägen 231,59.5,2,Kristoffer Pettersson,3261,3925000,2022-06-14,65966,59,59.3044186159904,17.9832458496094
2022099,Sickla kanalgata 52 Accepterat pris,59.5,2,Unknown,3644,4050000,2022-09-09,68067,114,59.3033670507753,18.1082153320313
2022031,Svartviksslingan 102,59.5,2,Unknown,3724,4375000,2022-03-01,73529,100,59.3391020344237,17.9894256591797
20220328,Redargatan 11,59.5,2,Unknown,3102,4800000,2022-03-28,80672,454,59.3023154530506,18.0910491943359
