Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
20221219,Arvodesvägen 8,23,1,Unknown,2121,2050000,2022-12-19,89130,57,59.2995110335101,17.9825592041016
2022062,Kratsbodavägen 36,23,1,Hevrê Yildiz,1716,2050000,2022-06-02,89130,105,59.3597551240298,17.9550933837891
20210329,Vikstensvägen 46,23,1,Unknown,1525,2090000,2021-03-29,90870,36,59.2823289185772,18.1205749511719
20200424,Körsbärsvägen 6 A,23,1,Unknown,1880,2160000,2020-04-24,93913,1100,59.3489050669945,18.0656433105469
20200528,Skånegatan 105A,23,1,Erica Skoglund,1569,2200000,2020-05-28,95652,700,59.3131803952717,18.0883026123047
20220630,Essinge Brogata 39,23,1,Robin Heimberger,1888,2230000,2022-06-30,96957,123,59.3247424877688,18.0031585693359
20220216,Hägerstensvägen 209,23,1,Alexandra Ekstrand,2202,2240000,2022-02-16,97391,67,59.3047691305045,17.9859924316406
20220930,Körsbärsvägen 6A,23,1,Ronni Mleczkovicz,1736,2250000,2022-09-30,97826,1100,59.3489050669945,18.0656433105469
20220915,Essingestråket 34,23,1,Kerstin Wallin,1554,2300000,2022-09-15,100000,63,59.3212392386477,17.984619140625
20221124,Rindögatan 4,23,1,Mourad Tajiou,1529,2355000,2022-11-24,102391,298,59.3475048070169,18.0937957763672
20210520,Ekhagsvägen 10,23,1,Mathias Dominius,1586,2400000,2021-05-20,104348,29,59.3720010208738,18.0553436279297
20221213,Alströmergatan 32D,23,1,Unknown,1427,2400000,2022-12-13,104348,404,59.3373511951061,18.0258178710938
20210825,Orvar Odds väg 2,23,1,Unknown,1536,2470000,2021-08-25,107391,128,59.3296464299437,17.9997253417969
20210224,Kammakargatan 18 2 tr,23,1,Robin Stegeby,2058,2500000,2021-02-24,108696,1500,59.3391020344237,18.0622100830078
2022077,Krukmakargatan 69,23,1,Unknown,1596,2500000,2022-07-07,108696,581,59.3159836879043,18.0443572998047
20221116,Bergsundsgatan 15,23,1,Unknown,1424,2520000,2022-11-16,109565,392,59.3166844749487,18.0292510986328
2019118,Rutger fuchsgatan 4,23,1,Unknown,1211,2650000,2019-11-08,115217,804,59.3072226309661,18.0780029296875
20220813,Rindögatan 28,23,1,Unknown,1665,2695000,2022-08-13,117174,230,59.3457544008388,18.0979156494141
20221019,Heleneborgsgatan 9C,23,1,Felix Zidaric,1356,2700000,2022-10-19,117391,485,59.3187867494125,18.0374908447266
20220619,Bondegatan 16A,23,1,Unknown,956,2750000,2022-06-19,119565,955,59.3128299674411,18.0780029296875
20220811,Torbjörn Klockares gata 13,23,1,Unknown,1450,2790000,2022-08-11,121304,540,59.3450542131029,18.0340576171875
20200930,Västmannagatan 89A Ög,23,1,Unknown,947,2800000,2020-09-30,121739,887,59.3450542131029,18.0429840087891
20201031,Odengatan 87,23,1,Niklas Jonasson,907,2800000,2020-10-31,121739,1100,59.3415530578605,18.0471038818359
2021078,Folkungagatan 146B,23,1,Unknown,900,2800000,2021-07-08,121739,579,59.3152828864145,18.0910491943359
20221129,Skeppargatan 98,23,1,Unknown,1284,2820000,2022-11-29,122609,462,59.3426034423325,18.0903625488281
20191127,Grevgatan 23A,23,1,Unknown,1426,2825000,2019-11-27,122826,995,59.3341994569121,18.0841827392578
2020092,Skeppargatan 57,23,1,Unknown,734,2840000,2020-09-02,123478,811,59.3380515416625,18.0862426757813
20220518,Västmannagatan 97,23,1,Unknown,1380,2850000,2022-05-18,123913,873,59.3464545741376,18.0429840087891
2021107,Kungsholms Hamnplan 5,23,1,Angelica Hermansson,1063,2850000,2021-10-07,123913,1200,59.3275448270931,18.0457305908203
2020105,Banérgatan 31 A,23,1,Erik Frisk,1017,2850000,2020-10-05,123913,392,59.3363006481976,18.0931091308594
2021082,Upplandsgatan 25A,23,1,Unknown,930,2850000,2021-08-02,123913,1300,59.3391020344237,18.0512237548828
20210915,Maria Skolgata 87,23,1,Unknown,1664,2900000,2021-09-15,126087,805,59.3145820704793,18.0539703369141
20190930,Askrikegatan 17,23,1,Unknown,1011,2900000,2019-09-30,126087,227,59.3443540109297,18.0986022949219
20220513,Sveavägen 122,23,1,Nathalie Jensen,1114,2910000,2022-05-13,126522,1200,59.3450542131029,18.0546569824219
20220224,Furusundsgatan 3,23,1,Unknown,1527,3000000,2022-02-24,130435,240,59.3482049442239,18.0965423583984
20200728,Bergsgatan 19 A,23,1,Unknown,1224,3075000,2020-07-28,133696,1000,59.3296464299437,18.0429840087891
20220623,Norr Mälarstrand 24,23,1,Dilini Panabokke,911,3135000,2022-06-23,136304,1100,59.3268442639256,18.0450439453125
20220728,Västmannagatan 33,23,1,Unknown,925,3300000,2022-07-28,143478,1200,59.3394521914579,18.0498504638672
2021085,Valhallavägen 134,23,1,Unknown,784,3375000,2021-08-05,146739,741,59.3415530578605,18.0862426757813
2022029,Skeppargatan 54,23,1,Unknown,520,3710000,2022-02-09,161304,873,59.3370010164131,18.0855560302734
20220727,Snödroppsgränd 29 (Uteplats),23.2,1,Josef Gubrail,1592,1550000,2022-07-27,66810,8,59.3849418781423,17.8225708007813
20221118,Follingbogatan 18,23.5,1,Linn Holmer,2636,1450000,2022-11-18,61702,15,59.3576553836356,17.9029083251953
2023015,Skanörvägen 9,23.5,1,Julia Larsson,1382,2000000,2023-01-05,85106,101,59.2921483321933,18.1116485595703
20190118,Roslagsgatan 60,23.5,1,Unknown,1315,2570000,2019-01-18,109362,950,59.3506553107631,18.0560302734375
20210624,Nathorstvägen 17,23.6,1,Unknown,1384,2400000,2021-06-24,101695,424,59.2974075671325,18.0896759033203
20221122,Almbygatan 6,24,1,Unknown,1600,1095000,2022-11-22,45625,74,59.3926341011866,17.9310607910156
2022104,Jämtlandsgatan 74,24,1,Unknown,1375,1325000,2022-10-04,55208,34,59.3597551240298,17.8726959228516
2022112,Snödroppsgränd 29,24,1,Nikola Markulic,1592,1400000,2022-11-02,58333,8,59.3849418781423,17.8225708007813
20211119,Jämtlandsgatan 86,24,1,Unknown,1317,1400000,2021-11-19,58333,36,59.3604550086278,17.8713226318359
2022119,Fyrskeppsvägen 45,24,1,Unknown,1525,1450000,2022-11-09,60417,103,59.2879403589468,18.10546875
20210731,Jämtlandsgatan 90,24,1,Unknown,1317,1550000,2021-07-31,64583,36,59.360105068133,17.8713226318359
20210427,Gamla Huddingevägen 439 B,24,1,Unknown,1988,1575000,2021-04-27,65625,21,59.274260852307,18.0237579345703
20220915,Perstorpsvägen 110,24,1,Unknown,1377,1600000,2022-09-15,66667,34,59.2479386568919,18.1047821044922
2019125,Arvid Mörnes väg 48,24,1,Linnea Ragnevad,1614,1610000,2019-12-05,67083,30,59.3478548774249,17.8740692138672
20220321,Jämtlandsgatan 102 (Våning 2),24,1,Nikola Markulic,1375,1620000,2022-03-21,67500,36,59.3608049455145,17.8713226318359
