Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm
20191015.0,Bondegatan 24,25.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,1439.0,2755000.0,918.0,59.31270807812389,18.079376220703125,110200.0
20191015.0,Rådmansgatan 46,24.0,1.0,Vision Mäkleri AB,1534.0,2520000.0,1500.0,59.34073095931448,18.06015014648437,105000.0
20191011.0,Sankt Göransgatan 153,24.5,1.0,Notar,1523.0,2360000.0,256.0,59.337929710962655,18.01483154296875,96327.0
20191011.0,Grevgatan 20,24.0,1.0,MOHV Stockholm AB,1128.0,3100000.0,984.0,59.333727405256454,18.084869384765625,129167.0
20191010.0,Rehnsgatan 10A,20.0,1.0,Erik Olsson Fastighetsförmedling,1208.0,2410000.0,1400.0,59.342831743974685,18.06015014648437,120500.0
20191010.0,Hägerstensvägen 209,23.0,1.0,Alicia Edelman Fastighetsmäkleri,2202.0,2175000.0,64.0,59.30429670714546,17.985992431640625,94565.0
2019108.0,Vittangigatan 16,23.0,1.0,Fastighetsbyrån Hässelby/Vällingby/Spånga,1631.0,1650000.0,35.0,59.36103310187028,17.87200927734375,71739.0
2019106.0,Bäckaskiftsvägen 11A,24.0,2.0,Bjurfors Enskede,1376.0,2250000.0,25.0,59.27484052203332,18.04916381835937,93750.0
2019104.0,Vulcanusgatan 8,20.0,1.0,Alicia Edelman Fastighetsmäkleri,806.0,2500000.0,627.0,59.33863004470884,18.03817749023437,125000.0
2019104.0,Alviksvägen 23,24.0,1.0,Erik Olsson Fastighetsförmedling,1288.0,2285000.0,44.0,59.330925579315355,17.975006103515625,95208.0
2019104.0,Hjulstavägen 92,23.0,1.0,HusmanHagberg Kista,1639.0,1260000.0,70.0,59.39251239766512,17.9296875,54783.0
2019104.0,Lundagatan 36B,24.5,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1374.0,2520000.0,813.0,59.319015241183074,18.046417236328125,102857.0
2019104.0,Närkesgatan 2,25.0,1.0,Mäklarhuset Stockholm Innerstan,1233.0,2430000.0,867.0,59.312007210000495,18.08212280273437,97200.0
2019103.0,Roslagsgatan 32,25.0,1.0,HusmanHagberg Vasastan,995.0,2880000.0,1200.0,59.34773306953446,18.05877685546875,115200.0
2019103.0,Sankt Eriksgatan 64,24.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,1052.0,2750000.0,573.0,59.337929710962655,18.035430908203125,114583.0
2019102.0,Slipgatan 14,23.0,1.0,Historiska Hem,1404.0,2900000.0,378.0,59.3169129835029,18.02719116210937,126087.0
2019102.0,Konstgjutarvägen 28,22.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Enskede,1634.0,2085000.0,257.0,59.29448081136921,18.076629638671875,94773.0
2019102.0,Kungsklippan 11,23.0,1.0,BOSTHLM,1654.0,2605000.0,1300.0,59.329524579699104,18.04779052734375,113261.0
2019101.0,Tjärhovsgatan 22,20.0,1.0,Södermäklarna,2240.0,2250000.0,1000.0,59.314810595818216,18.0780029296875,112500.0
2019101.0,Kungsklippan 11,24.0,1.0,Innerstadsspecialisten S AB,1731.0,2320000.0,1300.0,59.329524579699104,18.04779052734375,96667.0
2019101.0,Sankt Eriksgatan 109,25.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,542.0,3075000.0,690.0,59.34563258805997,18.03955078125,123000.0
20190930.0,Askrikegatan 17,23.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1011.0,2900000.0,228.0,59.34423219489216,18.098602294921875,126087.0
20190930.0,Maskinistgatan 9,23.5,1.0,Fastighetsbyrån Hägersten/Älvsjö,1932.0,2440000.0,241.0,59.3169129835029,18.013458251953125,103830.0
20190930.0,Garvargatan 22 5tr,20.0,1.0,SkandiaMäklarna Stockholm Kungsholmen,891.0,2550000.0,906.0,59.32812352231692,18.040924072265625,127500.0
20190930.0,Sankt Göransgatan 153,22.5,1.0,BOSTHLM Fastighetsmäklare AB,1550.0,2450000.0,256.0,59.337929710962655,18.01483154296875,108889.0
20190930.0,Folkskolegatan 12,22.0,1.0,HusmanHagberg Södermalm/Gamla Stan,1866.0,2400000.0,398.0,59.3169129835029,18.029937744140625,109091.0
20190927.0,Bokbindarvägen 78,24.0,1.0,Fastighetsbyrån Hägersten/Älvsjö,2432.0,2150000.0,55.0,59.30079135519931,17.98187255859375,89583.0
20190927.0,Erik Dahlbergsgatan 36,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1343.0,2545000.0,343.0,59.34423219489216,18.09310913085937,106042.0
20190927.0,Nybrogatan 72,25.0,1.0,Nomad Mäkleri,823.0,3150000.0,884.0,59.341431235306,18.08349609375,126000.0
20190927.0,Sven Rinmans Gata 3,25.0,1.0,Mäklarhuset Stockholm Innerstan,1236.0,2700000.0,556.0,59.32882405822882,18.029937744140625,108000.0
20190927.0,Vikstensvägen 46,23.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Enskede,1525.0,2075000.0,36.0,59.281856211948,18.120574951171875,90217.0
20190926.0,Heleneborgsgatan 6B,25.0,1.0,Notar,1842.0,2750000.0,663.0,59.319715964854154,18.04229736328125,110000.0
20190926.0,Kommendörsgatan 33A,20.0,1.0,Notar,1039.0,2900000.0,820.0,59.33722936277729,18.08624267578125,145000.0
